Message,Extracted,Expected
"Enjoy exclusive savings on every payment you make via PayZapp!
With over 2000+ merchants across Bill Payments/Grocery/Shopping & Travel hdfcbk.io/WEB4KAWE7Pfh  T&C",2000,nan
"Out for Pickup: ORENICS 33000 mAh Powe... with tracking ID FMPR0276536979 from flipkart.com, will be picked up  before 9pm today by an EKART Wish Master (call 09174003000, PIN 142). Keep the product ready with all accessories and tags for verification.",33000,nan
"OTP for creating your Health ID is 182810. This One Time Password will be valid for 10 mins.

NHA",nan,182810
Go Easy this Holi at Spar-Easybuy! Celebrate in style with family starting just Rs129. Get Home Centre 4 Pc Set @ 249 on shopping of 2999. bit.ly/37nfFG4 TC,2999,nan
"Dear Customer, reset MPIN request @CANDI has been failed due to 13-Apr-2022 on 22:00:09. If not you, send SUSPECT to 56161. Helpline 18004250018.-Canara Bank",56161,nan
"Hi Amit thakur, greetings from Paytm!
Your bus ticket has been confirmed and details are sent to apputhakur4399@gmail.com
Here are your booking details
Amritsar to Chandigarh
Zingbus
BHARAT BENZ SEMI-SLEEPER
PNR: ZB211027130521
--
Ticket No: 22D4KNW
Paytm Booking ID: 15734767880
Passengers: amit thakur
Seats: 33(M)
Boarding time: 20:00 Wed, 27 Oct 2021
Location: Bhawani Travels Hall gateBhawani Travels, Hall Gate Cir, Pink Plaza Market, Hathi Gat
Landmark: Bhawani Travels Hall gate
--
8287009889
Drop: Indo Canadian Tpt
Please check Paytm app or registered email address for complete ticket details.
For assistance contact: 0120 4880880 or https://paytm.com/care
----",4880880,nan
"Raman, end 2021 on a good note
Buy 3, Get 20% Off | Buy 2, Get 15% Off
Free Shipping @ Year End Sale
http://smsd.in/buEM555B0",2021,nan
otp for creating your Health ID is 319245. This One Time Password will be valid for 10 mins.NHA,nan,319245
We have received a wrong UPI PIN attempt in your Account XX5823 on 2022-03-14 14.22.16. Use SIB Mirror+ to reset MPIN. bit.ly/SIBmirrorplus -South Indian Bank,2022,nan
"Get Shopping voucher Rs.5000, upto 20% off @ 4000+ restaurants & complimentary lounge access with Axis Bank PRIVILEGE CreditCard r1t.in/7875313460/a",5000,nan
Dear Customer RefNum KBL cardless withdrawal amount 100 985175. Plz dont share anyone fraudster may call get number.-Karnataka Bank,985175,nan
"Get Shopping voucher Rs.5000, upto 20% off @ 4000+ restaurants & complimentary lounge access with Axis Bank PRIVILEGE CreditCard http://1kx.in/XZ9zq0 CCARDD",4000,nan
"Out for Delivery:LOIS CARON LCS-8188 BL... with tracking ID FMPC1761232888, will be delivered today by an EKART Service Partner (call 04440114101, PIN 172). Please pay Rs.329.0 by cash..",8188,nan
We have received a wrong UPI PIN attempt in your Account XX5823 on 2022-03-30 13.41.28. Use SIB Mirror+ to reset MPIN. bit.ly/SIBmirrorplus -South Indian Bank,2022,nan
Haven't picked your Wedding outfit yet? PETER ENGLAND has got your back. Fresh Summer Collection just dropped at our Trichurapalli Store. Visit NOW and avail FREE Rs.2000 shopping on purchase of Rs.6999. Valid till 30 Apr.TC.,6999,nan
"Out for Pickup: KUBRA KB-2028 Cordless... with tracking ID FMPR0276874629 from flipkart.com, will be picked up  before 9pm today by an EKART Wish Master (call 07529054000, PIN 108). Keep the product ready with all accessories and tags for verification.",2028,nan
Alert:Secret otp for checking HDFC Bank Credit Card offers is 439819.It is valid till 2 mins.Please do not share otp with anyone.,nan,439819
Dear Paras successfully vaccinated 2nd Dose COVAXIN 10-02-2022 12:53 PM. may download vaccination Certificate - - CoWIN,2022,nan
Dear Parbata Parasram Meshram successfully vaccinated 1st Dose COVAXIN 27-12-2021 10:52 AM. may download vaccination Certificate - - CoWIN,2021,nan
Dear Customer RefNum KBL cardless withdrawal amount 100 433874. Plz dont share anyone fraudster may call get number.-Karnataka Bank,433874,nan
Dear Customer RefNum KBL cardless withdrawal amount 100 379513. Plz dont share anyone fraudster may call get number.-Karnataka Bank,379513,nan
INR 320 debited A/c 2533 ATM POS/84572793/22:19:18/21032290 Bal 692976.6713-04-2022 22:19:21. transaction unauthorized SMS BLOCK A/c BLOCK 8828837411 click /module/complaint-lodge-grievence lodge complaint. Punjab Sind Bank,21032290,nan
"Mobile Banking Registration started. If not initiated by you, report immediately to Bank Helpline 1800-4250-018. Never share OTP/Card/Exp/CVV details to anyone - Canara Bank.",4250,nan
PSB000000000273008 A/c 378052 Credited Rs 191-- MOBILE Cr-IMPS :P2A/918020110872063/GOOGLEINDIADIGITAL CLR BAL 33327.59CR16-07-2021 00:23:58-PunjabSind Bank,33327,nan
Dear Vimla Mishra successfully vaccinated 2nd Dose COVISHIELD 16-08-2021 12:51 PM. may download vaccination Certificate - - CoWIN,2021,nan
"Why RISK stepping out!
To help you easily repay your HDFC Bank GOLD LOAN Loan A/c 73299580 our associate HDB FINANCIAL SERVICES LTD will contact you.
You can also call them at 07966215024
Ignore if paid.
Read Collections & Grievance Redressal Policy: hdfcbk.io/k/DUvfELWoVOf 
Note: We record our customer calls for training & quality check",73299580,nan
3838 is otp for your ATM Cash WDL TXN through ATMID S1BJ001312065 of Rs.15000 from SBI Acct 7069.Do not share with anyone. Download YONO@ www.yonosbi.com,7069,3838
Blue Dart Secure Delivery Code 358163 valid next 30 minutes. Enter Delivery Code device receive package.,nan,358163
Imp Info: Did you know that Market Guru Sanjiv Bhasin is associated with IIFL Securities.Trade with his special recommendations with Proven Success rate. Open account today & Get Free Shopping vouchers worth Rs 5000 Click https://cutt.ly/ETySIwg  IIFLSL,5000,nan
735668 winners Rs 12L cashback month turn winner Use Finserv MARKETS UPI win cashback rewards weekly,735668,nan
"Get Shopping voucher Rs.5000, upto 20% off @ 4000+ restaurants & complimentary lounge access with Axis Bank PRIVILEGE CreditCard http://1kx.in/UXokOt CCARDD",5000,nan
"Out for Pickup: KUBRA KB-2028 Cordless... with tracking ID FMPR0276874629 from flipkart.com, will be picked up  before 9pm today by an EKART Wish Master (call 07529054000, PIN 248). Keep the product ready with all accessories and tags for verification.",2028,nan
"Groom or Guest, we promise to make you look the Best, this wedding season with our PETER ENGLAND Ceremonial Collection. Shop from our latest range of Suits & Blazers and avail FREE Rs.2000 shopping on purchase of Rs.6999 only at Trichurapalli Store. Valid till 30 Apr. TC.",6999,nan
PSB000000000273008 A/c 233886 Credited Rs 191-- MOBILE Cr-IMPS :P2A/918020110872063/GOOGLEINDIADIGITAL CLR BAL 33327.59CR16-07-2021 00:23:58-PunjabSind Bank,33327,nan
INR 320 debited A/c 2533 ATM POS/84572793/22:19:18/21032290 Bal 40596.6713-04-2022 22:19:21. transaction unauthorized SMS BLOCK A/c BLOCK 8828837411 click /module/complaint-lodge-grievence lodge complaint. Punjab Sind Bank,21032290,nan
INR 130 debited A/c 2533 ATM POS/5P631283/22:57:46/20972294 Bal 382679.1707-04-2022 22:57:46. transaction unauthorized SMS BLOCK A/c BLOCK 8828837411 click /module/complaint-lodge-grievence lodge complaint. Punjab Sind Bank,20972294,nan
INR 130 debited A/c 2533 ATM POS/5P631283/22:57:46/20972294 Bal 44858.1707-04-2022 22:57:46. transaction unauthorized SMS BLOCK A/c BLOCK 8828837411 click /module/complaint-lodge-grievence lodge complaint. Punjab Sind Bank,20972294,nan
"Dear Customer,
1IndiaFamilyMart brings FRESH SUMMER OFFER!
Free Shopping of Rs.1000 on Shopping of Rs.1000.
Offer valid on fresh stock.
T&C Apply",1000,nan
"Dear Customer, request received for registering your Jio Payments Bank account. Do not share your OTP to avoid any financial loss. Not you? Call 1800 891 9999",8919999,nan
"Dear Partner,Cash prizes that will make your dil go ""Jumping Japang""
Refer a friend to Shadowfax and earn Rs 1000/- once he completes 50 orders. Also, earn Rs. 1000/- extra after he completes 200 orders. More referrals, most earnings! in.shadowfax.https://u1.mnge.co/gKR1EMn",1000,nan
"Get Shopping voucher Rs.5000, upto 20% off @ 4000+ restaurants & complimentary lounge access with Axis Bank PRIVILEGE CreditCard http://1kx.in/LBSwJe CCARDD",4000,nan
Blue Dart Secure Delivery Code 807339 valid next 30 minutes. Enter Delivery Code device receive package.,nan,807339
"Dear Partner,Cash prizes that will make your dil go ""Jumping Japang""
Refer a friend to Shadowfax and earn Rs 1000/- once he completes 50 orders. Also, earn Rs. 1000/- extra after he completes 200 orders. More referrals, most earnings! in.shadowfax.https://u1.mnge.co/7MqOAQ4",1000,nan
PSB000000000273008 A/c 2045 Credited Rs 191-- MOBILE Cr-IMPS :P2A/918020110872063/GOOGLEINDIADIGITAL CLR BAL 33327.59CR16-07-2021 00:23:58-PunjabSind Bank,33327,nan
"Dear Customer,One Time Password (otp) for your loan application for acceptance of the T&C of the Application ID 100000208569 is 846167 otp is valid for 10 min. Pls click on the link http://cfsurvey.force.com/TNC to view the TNC.Thanks,IDFC FIRST Bank",nan,846167
We have received a wrong UPI PIN attempt in your Account XX5823 on 2022-05-07 11.08.39. Use SIB Mirror+ to reset MPIN. bit.ly/SIBmirrorplus -South Indian Bank,2022,nan
Dear Vivek Rathour successfully vaccinated 1st Dose COVAXIN 09-02-2022 03:44 PM. may download vaccination Certificate - - CoWIN,2022,nan
"Dear Customer, Beware of fraudulent messages. Bank never asks for details like Card no./PIN/OTP/CVV. Don't share with anyone. Our customer care numbers are 1800-425-0018, 1800-103-0018, 1800-208-3333, 1800-3011-3333. Use only these numbers to contact us. CANARA BANK",4250018,nan
"Dear Customer, you have successfully set the UPI PIN with Paytm Payments  app. In case it was not you, please call ICICI Bank Customer Care on (022 3366 7777).",7777,nan
Shadowfax rider 914461710281 PIN 7119 will deliver your Anarkali order AWB SF206583905443FPL today. Attempt code 8195 Visit https://tracker.shadowfax.in,7119,8195
Arriving Today: Srinu order partner 914071153148 PIN 5985. Track opt contactless /zwyJan .Please share delivery code 2744 delivery partner confirmation status. - Shadowfax,5985,2744
"Hi Sp davawala,


We're holding on to the FREE DOORSTEP EVALUATION of your Maruti Suzuki Eeco with SellRight by Spinny! Avail of it anytime you like. Just click - weurl.co/lkIZfz


With us, you'll get Top Dollar for your car, Paid Instantly upon pickup, Free RC Transfer and so much more.


For any assistance, reach us at 727 727 7275.


SellRight by Spinny",727727,nan
INR 130 debited A/c 2533 ATM POS/5P631283/22:57:46/20972294 Bal 129685.1707-04-2022 22:57:46. transaction unauthorized SMS BLOCK A/c BLOCK 8828837411 click /module/complaint-lodge-grievence lodge complaint. Punjab Sind Bank,20972294,nan
"FREE SHOPPING WEEK @ CENTRAL - Extended till 30 JAN

SHOP for Rs.3000 & GET FULL Rs.3000 BACK TnC bit.ly/3rLi8kj

EXTRA Rs500 OFF 598461815585 on Rs5999 + GIFTS",3000,nan
"FREE SHOPPING WEEK at CENTRAL

SHOP for Rs.3000 & GET FULL Rs.3000 BACK TnC bit.ly/3rLi8kj

EXTRA Rs500 OFF 598461815585 on Rs5999 + 10% OFF ICICI Bank cards",3000,nan
"Dear Partner,Cash prizes that will make your dil go ""Jumping Japang""
Refer a friend to Shadowfax and earn Rs 1000/- once he completes 50 orders. Also, earn Rs. 1000/- extra after he completes 200 orders. More referrals, most earnings! in.shadowfax.https://u1.mnge.co/7MnlnxL",1000,nan
Arriving Today: Srinu order partner 914067820390 PIN 6292. Track opt contactless //track/D813EABEA027896BCA6A8258E27B5D15/Fwd/ .Please share delivery code 154497 delivery partner confirmation status. - Shadowfax,6292,154497
Dear 63065557XX Superstar Evening Finale Junglee Rummy Prize Pool: 587672 Entry Fees - Win,587672,nan
5000 rupalu gurnchi nanu andukara nanu tocher chestanavu monday isthanu anthavarku naku phone cheyaku,5000,nan
Shadowfax rider 911726132056 PIN 7429 will deliver your Raghav order AWB SF242927636FPL today. Attempt code 8813 Visit https://tracker.shadowfax.in,7429,8813
Shadowfax rider 914461710281 PIN 5728 will deliver your Anarkali order AWB SF206583905443FPL today. Attempt code 7229 Visit https://tracker.shadowfax.in,5728,7229
Shadowfax rider 914461710281 PIN 2240 will deliver your Anarkali order AWB SF231549291443FPL today. Attempt code 5836 Visit https://tracker.shadowfax.in,2240,5836
Jio Delivery Code 321208. Please share representative receiving SIM delivery doorstep activation. SHARE CALL doorstep activation provided. Jio ask password OTP codes call. Jio Express request serviced Naveen Kumar Yadav p Mob-6303803161. Kindly provide valid POI/POA Jio Representative KYC. present address KYC activation process.,nan,321208
Jio Delivery Code 930622. Please share representative receiving SIM delivery doorstep activation. SHARE CALL doorstep activation provided. Jio ask password OTP codes call. Jio Express request serviced Naveen Kumar Yadav p Mob-6303803161. Kindly provide valid POI/POA Jio Representative KYC. present address KYC activation process.,nan,930622
Jio Delivery Code 639305. Please share representative receiving SIM delivery doorstep activation. SHARE CALL doorstep activation provided. Jio ask password OTP codes call. Jio Express request serviced Naveen Kumar Yadav p Mob-6303803161. Kindly provide valid POI/POA Jio Representative KYC. present address KYC activation process.,nan,639305
"Your Jio Delivery Code is 211326. Please share this with our representative only AFTER receiving your Jio Product and doorstep activation. # DO NOT SHARE ON CALL IF doorstep activation is not provided. Jio does not ask for password, otp or codes on call.Your Jio Express request will be serviced by RAJAT KUMAR (Mob-8427994640). Kindly provide your valid POI/POA to our Jio Representative for KYC. You will have to be present at the address for KYC activation process.",nan,211326
Vi AlertYour Unlimited Pack EXPIRING TODAY Recharge /ViRC20 1699:4GB/DUL84D 291391:1.5GB/DUL84D5GB28D 3801:UL3GB/Day48GB84D,291391,nan
Hi 63529880XX RPL 11 Finale Junglee Rummy Prize Pool: 285890 2.5 CR Entry Fees - Win -,285890,nan
Slot Booking/Cancellation for Application: 662328,662328,nan
Thank you for shopping at KINS/KLOVE Rs.499 Qty.1Bill No.0004269 Date18-04-2022 For any query contact us at support@kinsfootwear.com,2022,nan
"Dear SBI Customer, PIN CHANGE was done successfully for the card X8981 at ATM S5NE050949621 on 29-Apr-2022. Transaction Number 201. If not done by you, send BLOCK <last 4 digit of card> to 567676 or call 1800111109 or 09449112211 to block your card. Use SBI ATMs for better security.",2022,nan
856668 Flipkart code valid 10 minutes. share OTP anyone. 368538,368538,856668
Liked your shopping experience? We would love to hear from you about your Lenskart order#1254826913 at https://nps.bz/LENSKART-15291847,15291847,nan
otp to access your Health ID is 938249. This One Time Password will be valid for 10 mins.NHA,nan,938249
760820 Flipkart code valid 10 minutes. share OTP anyone. 378658,378658,760820
"Hi Raman , We hope you had a great shopping experience for HMTe HM-2122 Metal Analog... . Please rate us at www.snpdl.in/kzryh0yvt - Snapdeal",2122,nan
Jio Delivery Code 789676. Please share representative receiving SIM delivery doorstep activation. SHARE CALL doorstep activation provided. Jio ask password OTP codes call. Jio Express request serviced Nanthakumar Mob-9789957671. Kindly provide valid POI/POA Jio Representative KYC. present address KYC activation process.,nan,789676
105542 Flipkart code valid 10 minutes. share OTP anyone. 546959,546959,105542
378682 Flipkart code valid 10 minutes. share OTP anyone. 378658,378658,378682
4500 winners Rs 12L cashback month turn winner Use Finserv MARKETS UPI win cashback rewards weekly,4500,nan
"Your Jio Delivery Code is 211326. Please share this with our representative only AFTER receiving your Jio Product and doorstep activation. # DO NOT SHARE ON CALL IF doorstep activation is not provided. Jio does not ask for password, otp or codes on call.Your Jio Express request will be serviced by Rohit kumar (Mob-8968117531). Kindly provide your valid POI/POA to our Jio Representative for KYC. You will have to be present at the address for KYC activation process.",nan,211326
"Your Jio Delivery Code is 639305. Please share this with our representative only AFTER receiving SIM delivery and doorstep activation. # DO NOT SHARE ON CALL IF doorstep activation is not provided. Jio does not ask for password, OTP or codes on call.
Your Jio Express request will be serviced by Naveen Kumar Yadav p (Mob-6303803161). Kindly provide your valid POI/POA to our Jio Representative for KYC. You will have to be present at the address for KYC activation process.",nan,639305
"Dear Partner,Cash prizes that will make your dil go ""Jumping Japang""
Refer a friend to Shadowfax and earn Rs 1000/- once he completes 50 orders. Also, earn Rs. 1000/- extra after he completes 200 orders. More referrals, most earnings! in.shadowfax.https://u1.mnge.co/pnRGYmm",1000,nan
000000 OTP mobile verification Yatra. OTP valid 15 minutes. -Yatra,nan,000000
"INR 1,500.00 Debited to Ac XXXXXXXXXXX9190 on 19-MAR-2022 10:48:55-ATD:0876849376:T1NH000084010:KARNAILGANJ BAZAR      GONDA        UPIN 10:48:55  Tot Avbl Bal-INR 442.00 on 19-MAR-2022 10:48:55.In case you have not done this transaction, SMS BLKDC <Space><Cust ID> <Space><Last 4 digit of Debit Card number> to 9840909000 from your registered mobile number to block your card. Warm Regards, YES Bank",2022,nan
"Get Shopping voucher Rs.5000, upto 20% off @ 4000+ restaurants & complimentary lounge access with Axis Bank PRIVILEGE CreditCard http://1kx.in/LFooOO CCARDD",4000,nan
"Dear Partner,Cash prizes that will make your dil go ""Jumping Japang""
Refer a friend to Shadowfax and earn Rs 1000/- once he completes 50 orders. Also, earn Rs. 1000/- extra after he completes 200 orders. More referrals, most earnings! in.shadowfax.https://u1.mnge.co/qoVGm62",1000,nan
"Get Shopping voucher Rs.5000, upto 20% off @ 4000+ restaurants & complimentary lounge access with Axis Bank PRIVILEGE CreditCard http://1kx.in/U2JyV7 CCARDD",4000,nan
"MPIN changed successfully @CANDI on 13-Apr-2022 at 22:02:52. If not you, send SUSPECT to 56161. Helpline 18004250018.-Canara Bank.",56161,nan
Dear Saroj eligible may avail precaution dose private vaccination center 21-04-2022. Please visit CoWIN,2022,nan
"Dear amit thakur, your ticket is successfully booked with zingbus from Bhawani Travels, Hall Gate Cir, Pink Plaza Market, Hathi Gate, Katra Ahluwalia, Amritsar to Indo Canadian Tpt, Sector 54 Mohali Phase 2  Near Furniture Market, Chandigarh 

PNR Number: ZB211027130521
Seat Number: 33
zingbus Departure Time: Oct 27, 2021 8:00 PM
Stop Point Name: Bhawani Travels Hall gate

You can track your zingbus journey by simply clicking: http://z.zingbus.com/A1U",2021,nan
937732 Flipkart code valid 10 minutes. share OTP anyone. 323964,323964,937732
152394 Flipkart code valid 10 minutes. share OTP anyone. 113495,113495,152394
"Dear Cardmember, manage your Card account on the go using the IndusMobile app. To download, visit bit.ly/3vukST6  and register your Card ending 9490. Start by setting your Credit Card PIN and enabling your Card for online transactions. You can also SMS ACTE to 5676757 from your registered mobile number to enable Domestic Online Transactions or visit bit.ly/3lfnUFX  to enable instantly - IndusInd Bank",5676757,nan
786528 Flipkart code valid 10 minutes. share OTP anyone. 323964,323964,786528
"Wish you a very happy new year 2022. May the new year bring abundant health, happiness and prosperity.

Stay safe, stay healthy

S Krishnan
MD & CEO
Punjab & Sind Bank",2022,nan
963979 Flipkart code valid 10 minutes. share OTP anyone. 546959,546959,963979
"Your Jio Delivery Code is 639305. Please share this with our representative only AFTER receiving SIM delivery and doorstep activation. # DO NOT SHARE ON CALL IF doorstep activation is not provided. Jio does not ask for password, otp or codes on call.Your Jio Express request will be serviced by Naveen Kumar Yadav p (Mob-6303803161). Kindly provide your valid POI/POA to our Jio Representative for KYC. You will have to be present at the address for KYC activation process.",nan,639305
"Your debit card is dispatched to your address on 28/04/2022 via SPEED POST, AWB No. AX371642227IN. Generate Green PIN via BOB ATM/bob World app/Baroda Connect/IVR -Bank of Baroda",2022,nan
Hi 63065557XX RPL 11 Finale Junglee Rummy Prize Pool: 246251 2.5 CR Entry Fees - Win -,246251,nan
907194 rupalu gurnchi nanu andukara nanu tocher chestanavu monday isthanu anthavarku naku phone cheyaku,907194,nan
OTP for online purchase of Rs. 1000.00 at PAYTM thru State Bank Debit Card 4591*****13 is 674752. Do not share this with anyone.,4591,674752
"Get Shopping voucher Rs.5000, upto 20% off @ 4000+ restaurants & complimentary lounge access with Axis Bank PRIVILEGE CreditCard http://1kx.in/LFooOO CCARDD",4000,nan
"Get Shopping voucher Rs.5000, upto 20% off @ 4000+ restaurants & complimentary lounge access with Axis Bank PRIVILEGE CreditCard http://1kx.in/UXokOt CCARDD",4000,nan
Blue Dart Secure Delivery Code 817888 valid next 30 minutes. Enter Delivery Code device receive package.,nan,817888
Blue Dart Secure Delivery Code 358163 valid next 30 minutes. Enter Delivery Code device receive package.,nan,358163
Blue Dart Secure Delivery Code 752674 valid next 30 minutes. Enter Delivery Code device receive package.,nan,752674
"Dear Partner,Cash prizes that will make your dil go ""Jumping Japang""
Refer a friend to Shadowfax and earn Rs 1000/- once he completes 50 orders. Also, earn Rs. 1000/- extra after he completes 200 orders. More referrals, most earnings! in.shadowfax.https://u1.mnge.co/NGENwVN",1000,nan
735668 winners Rs 12L cashback month turn winner Use Finserv MARKETS UPI win cashback rewards weekly,735668,nan
4500 winners Rs 12L cashback month turn winner Use Finserv MARKETS UPI win cashback rewards weekly,4500,nan
000000 OTP mobile verification Yatra. OTP valid 15 minutes. -Yatra,nan,000000
"Dear Partner,Cash prizes that will make your dil go ""Jumping Japang""
Refer a friend to Shadowfax and earn Rs 1000/- once he completes 50 orders. Also, earn Rs. 1000/- extra after he completes 200 orders. More referrals, most earnings! in.shadowfax.https://u1.mnge.co/pnRGYmm",1000,nan
Blue Dart Secure Delivery Code 497568 valid next 30 minutes. Enter Delivery Code device receive package.,nan,497568
Jio Delivery Code 321208. Please share representative receiving SIM delivery doorstep activation. SHARE CALL doorstep activation provided. Jio ask password OTP codes call. Jio Express request serviced Naveen Kumar Yadav p Mob-6303803161. Kindly provide valid POI/POA Jio Representative KYC. present address KYC activation process.,nan,321208
"Dear Partner,Cash prizes that will make your dil go ""Jumping Japang""
Refer a friend to Shadowfax and earn Rs 1000/- once he completes 50 orders. Also, earn Rs. 1000/- extra after he completes 200 orders. More referrals, most earnings! in.shadowfax.https://u1.mnge.co/qoVGm62",1000,nan
"INR 1,500.00 Debited to Ac XXXXXXXXXXX9190 on 19-MAR-2022 10:48:55-ATD:0876849376:T1NH000084010:KARNAILGANJ BAZAR      GONDA        UPIN 10:48:55  Tot Avbl Bal-INR 442.00 on 19-MAR-2022 10:48:55.In case you have not done this transaction, SMS BLKDC <Space><Cust ID> <Space><Last 4 digit of Debit Card number> to 9840909000 from your registered mobile number to block your card. Warm Regards, YES Bank",2022,nan
"Your Jio Delivery Code is 639305. Please share this with our representative only AFTER receiving SIM delivery and doorstep activation. # DO NOT SHARE ON CALL IF doorstep activation is not provided. Jio does not ask for password, otp or codes on call.Your Jio Express request will be serviced by Naveen Kumar Yadav p (Mob-6303803161). Kindly provide your valid POI/POA to our Jio Representative for KYC. You will have to be present at the address for KYC activation process.",nan,639305
We have received request for setting MPIN for your a/c XX5823 linked to VPA gp209610@okaxis on 2022-05-07 11.09.19. Dispute? call 18004251809-South Indian Bank,2022,nan
Dear Pooja Jitendra Shambharkar successfully vaccinated 2nd Dose COVISHIELD 18-11-2021 02:35 PM. may download vaccination Certificate - - CoWIN,2021,nan
Dear Prakash successfully vaccinated 2nd Dose COVISHIELD 25-11-2021 09:51 AM. may download vaccination Certificate - - CoWIN,2021,nan
Dear Pooja Jitendra Shambharkar successfully vaccinated 1st Dose COVISHIELD 04-08-2021 11:19 AM. may download vaccination Certificate - - CoWIN,2021,nan
Dear Parbata Parasram Meshram successfully vaccinated 1st Dose COVAXIN 27-12-2021 10:52 AM. may download vaccination Certificate - - CoWIN,2021,nan
Dear Sunil Kumar successfully vaccinated 1st Dose COVISHIELD 18-12-2021 01:51 PM. may download vaccination Certificate - - CoWIN,2021,nan
BharatPe Card: 8132 is your otp to complete agreement for BharatPe Card. NEVER SHARE THIS otp WITH ANYONE. 0Yhrllzku5k,nan,8132
OTP for online purchase of Rs. 1000.00 at PAYTM thru State Bank Debit Card 4591*****13 is 674752. Do not share this with anyone.,4591,674752
"Dear Customer, otp TO INITIATE E-MANDATE SBI REQUEST ID MN2212206204146 OF RS. 1 IN A/C NO. XXXX3249 IS 63007588. DO NOT SHARE IT WITH ANYONE. -SBI",nan,63007588
Alert:Secret otp for checking HDFC Bank Credit Card offers is 557216.It is valid till 2 mins.Please do not share otp with anyone.,nan,557216
907194 rupalu gurnchi nanu andukara nanu tocher chestanavu monday isthanu anthavarku naku phone cheyaku,907194,nan
Slot Booking/Cancellation for Application: 149461,149461,nan
Slot Booking/Cancellation for Application: 832752,832752,nan
Arriving Today: Srinu order partner 914067820390 PIN 9165. Track opt contactless //track/23C134956D261D883E619E043E2A0CBA/Fwd/ .Please share delivery code 7330 delivery partner confirmation status. - Shadowfax,9165,7330
Mobile Banking Registration started. initiated report immediately Bank Helpline 1800-4250-018. Never share OTP/Card/Exp/CVV details anyone - Canara Bank.,4250,nan
Dear Shivani successfully vaccinated 1st Dose CORBEVAX 06-05-2022 03:18 PM. may download vaccination Certificate - - CoWIN,2022,nan
"Get Shopping voucher Rs.5000, upto 20% off @ 4000+ restaurants & complimentary lounge access with Axis Bank PRIVILEGE CreditCard http://1kx.in/U2JyV7 CCARDD",4000,nan
"Get Shopping voucher Rs.5000, upto 20% off @ 4000+ restaurants & complimentary lounge access with Axis Bank PRIVILEGE CreditCard http://1kx.in/LBSwJe CCARDD",4000,nan
"Your Jio Delivery Code is 211326. Please share this with our representative only AFTER receiving your Jio Product and doorstep activation. # DO NOT SHARE ON CALL IF doorstep activation is not provided. Jio does not ask for password, otp or codes on call.Your Jio Express request will be serviced by Rohit kumar (Mob-8968117531). Kindly provide your valid POI/POA to our Jio Representative for KYC. You will have to be present at the address for KYC activation process.",nan,211326
"Your Jio Delivery Code is 639305. Please share this with our representative only AFTER receiving SIM delivery and doorstep activation. # DO NOT SHARE ON CALL IF doorstep activation is not provided. Jio does not ask for password, OTP or codes on call.
Your Jio Express request will be serviced by Naveen Kumar Yadav p (Mob-6303803161). Kindly provide your valid POI/POA to our Jio Representative for KYC. You will have to be present at the address for KYC activation process.",nan,639305
Blue Dart Secure Delivery Code 807339 valid next 30 minutes. Enter Delivery Code device receive package.,nan,807339
Hi 63065557XX RPL 11 Finale Junglee Rummy Prize Pool: 25000000 2.5 CR Entry Fees - Win -,25000000,nan
Dear Customer request received registering Jio Payments Bank account. share OTP avoid financial loss. Call 1800 891 9999,8919999,nan
Dear Sandeep successfully vaccinated 2nd Dose COVAXIN 15-02-2022 03:25 PM. may download vaccination Certificate - - CoWIN,2022,nan
Dear Ratan Giri successfully vaccinated 2nd Dose COVAXIN 14-02-2022 02:07 PM. may download vaccination Certificate - - CoWIN,2022,nan
Dear Senthilkumar successfully vaccinated 1st Dose COVISHIELD 05-01-2022 11:26 AM. may download vaccination Certificate - - CoWIN,2022,nan
Slot Booking/Cancellation for Application: 662328,662328,nan
OTP online purchase Rs. 1000.00 PAYTM thru State Bank Debit Card 459113 864126. share anyone.,459113,864126
Jio Delivery Code 639305. Please share representative receiving SIM delivery doorstep activation. SHARE CALL doorstep activation provided. Jio ask password OTP codes call. Jio Express request serviced Naveen Kumar Yadav p Mob-6303803161. Kindly provide valid POI/POA Jio Representative KYC. present address KYC activation process.,nan,639305
Hi 63065557XX RPL 11 Finale Junglee Rummy Prize Pool: 246251 2.5 CR Entry Fees - Win -,246251,nan
"Dear Cardmember, manage your Card account on the go using the IndusMobile app. To download, visit bit.ly/3vukST6  and register your Card ending 9490. Start by setting your Credit Card PIN and enabling your Card for online transactions. You can also SMS ACTE to 5676757 from your registered mobile number to enable Domestic Online Transactions or visit bit.ly/3lfnUFX  to enable instantly - IndusInd Bank",5676757,nan
Dear Saroj eligible may avail precaution dose private vaccination center 21-04-2022. Please visit CoWIN,2022,nan
152394 Flipkart code valid 10 minutes. share OTP anyone. 113495,113495,152394
"Hi Raman , We hope you had a great shopping experience for HMTe HM-2122 Metal Analog... . Please rate us at www.snpdl.in/kzryh0yvt - Snapdeal",2122,nan
7793 is otp for your ATM Cash WDL TXN through ATMID S5NL013358621 of Rs.10000 from SBI Acct 2483.Do not share with anyone. Download YONO@ www.yonosbi.com,2483,7793
